sample.id,BirdID,TubeNumber,OriginalSampleIDUnique,FieldPeriodID,Season,SequencingRun,CatchID,OccasionID,BTO,FieldRing,CatchTerritoryID,SampleDate,SampleYear,FreezerDate3,TimeAt4Degrees,SampleType,SampleType4Way,ExtractionDate,Qubit,BirthDate,SexEstimate,SampleTime,MinutesSinceSunrise,Ageclass,AgeDays,AgeYears,EyeColour,BreedTerritoryNumber,BreedTerritoryID,BreedGroupID,Status,TQcorrected,averageTQ_SameType,TQnotes_SameType,TQFinal_SameType,FieldPeriodID_LastSeen,LastPeriodSeenDate,LastBreedYearSeen,DaysToLastSeen,DiedEver,BirthDateEstimated,SampleReads,is.negLab,is.negCollection
Sample.2.1,6139,1,1,164,Major,1,10154,13498,L921081,RY/RX,75,26/06/2017,2017,25/09/2017,91,Faecal,Faecal,25/01/2018,0.0492,23/02/2014,0,8:49,169,Mature,1219,3.337,RB,51.2,75,7776,BrF,49923.83,NA,NA,49923.83,173,23/09/2019,2019,819,yes,TRUE,66118,FALSE,FALSE
Sample.20.25,6650,25,25,164,Major,1,10184,13545,Z691120,GN/SX,531,31/07/2017,2017,25/09/2017,56,Faecal,Faecal,22/01/2018,0.234,04/03/2016,1,15:38,578,Mature,514,1.407,RB,78.1,531,7837,BrM,44940.59,NA,NA,44940.59,171,09/03/2019,2019,586,yes,TRUE,50847,FALSE,FALSE
Sample.21.26,6654,26,26,164,Major,1,10160,13520,Z691137,GO/SX,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,20/12/2017,0.0546,16/07/2016,1,11:28,328,Mature,371,1.016,RB,46,63,7796,AB,45367.55,NA,NA,45367.55,177,18/03/2022,2022,1700,yes,FALSE,71688,FALSE,FALSE
Sample.22.27,6261,27,27,164,Major,1,10159,13520,Z691429,GR/XL,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,23/01/2018,0.0632,28/07/2014,1,9:10,190,Mature,1090,2.984,RB,46.1,64,7791,BrM,25475.7,NA,NA,25475.7,177,18/03/2022,2022,1700,yes,FALSE,57203,FALSE,FALSE
Sample.23.28,5319,28,28,164,Major,1,10155,13520,V267424,OW/BX,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,23/01/2018,0.0608,25/03/2009,0,9:02,182,Mature,3041,8.326,RB,46,63,7796,H,45367.55,NA,NA,45367.55,184,27/03/2023,2023,2074,no,TRUE,79206,FALSE,FALSE
Sample.24.29,5901,29,29,164,Major,1,10156,13520,L921100,LG/NX,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,23/01/2018,0.162,05/06/2012,0,9:02,182,Mature,1873,5.128,RB,46,63,7796,BrF,45367.55,NA,NA,45367.55,184,27/03/2023,2023,2074,no,TRUE,65904,FALSE,FALSE
Sample.25.30,6187,30,30,164,Major,1,10157,13521,L921284,NW/WX,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,22/01/2018,0.0204,26/03/2014,0,9:10,190,Mature,1214,3.324,RB,46.1,64,7791,BrF,25475.7,NA,NA,25475.7,176,30/09/2021,2021,1531,yes,TRUE,115313,FALSE,FALSE
Sample.26.31,6654,31,31,164,Major,1,10160,13520,Z691137,GO/SX,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,23/01/2018,0.0352,16/07/2016,1,11:28,328,Mature,371,1.016,RB,46,63,7796,AB,45367.55,NA,NA,45367.55,177,18/03/2022,2022,1700,yes,FALSE,65292,FALSE,FALSE
Sample.27.32,6654,32,32,164,Major,1,10180,13543,Z691137,GO/SX,63,09/08/2017,2017,25/09/2017,47,Faecal,Faecal,17/01/2018,NA,16/07/2016,1,8:24,144,Mature,389,1.065,RB,46,63,7796,AB,45367.55,NA,NA,45367.55,177,18/03/2022,2022,1682,yes,FALSE,44689,FALSE,FALSE
Sample.28.33,6752,33,33,164,Major,1,10178,13542,Z691336,YY/NX,55,08/08/2017,2017,25/09/2017,48,Faecal,Faecal,23/01/2018,0.0792,24/03/2017,0,14:14,494,Immature,137,0.375,G,39,55,7766,Immature,59592.25,NA,NA,59592.25,184,27/03/2023,2023,2057,no,FALSE,963654,FALSE,FALSE
Sample.29.34,6728,34,34,164,Major,1,10144,13515,Z691332,WB/NX,24,27/07/2017,2017,25/09/2017,60,Faecal,Faecal,25/01/2018,0.0588,26/10/2016,1,10:16,256,Mature,274,0.75,LB,18,24,7750,AB,27174.66,NA,NA,27174.66,176,30/09/2021,2021,1526,yes,FALSE,55114,FALSE,FALSE
Sample.3.3,6731,3,3,164,Major,1,10147,13498,Z691323,VX/WV,75,26/06/2017,2017,25/09/2017,91,Faecal,Faecal,25/01/2018,0.0592,09/02/2017,1,10:59,299,Immature,137,0.375,G,51.2,75,7776,H,49923.83,NA,NA,49923.83,173,23/09/2019,2019,819,yes,FALSE,76287,FALSE,FALSE
Sample.30.35,6746,35,35,164,Major,1,10172,13536,Z691341,YB/NX,34,10/08/2017,2017,25/09/2017,46,Faecal,Faecal,23/01/2018,0.0942,16/06/2017,1,15:48,588,Immature,55,0.151,G,26,34,7805,Immature,63064.91,NA,NA,63064.91,184,27/03/2023,2023,2055,no,FALSE,119562,FALSE,FALSE
Sample.31.36,6662,36,36,164,Major,1,10217,13593,Z691125,BE/WX,105,29/08/2017,2017,25/09/2017,27,Faecal,Faecal,22/01/2018,0.0696,05/08/2016,0,11:20,320,Mature,389,1.065,RB,122,179,7738,AB,23270.89,NA,NA,23270.89,166,14/03/2018,2018,197,yes,FALSE,189660,FALSE,FALSE
Sample.32.37,6751,37,37,164,Major,1,10177,13541,Z691338,VY/VX,165,08/08/2017,2017,25/09/2017,48,Faecal,Faecal,23/01/2018,0.0348,14/06/2017,1,15:30,570,Immature,55,0.151,G,108,165,7783,Immature,29038.84,NA,NA,29038.84,167,22/09/2018,2018,410,yes,FALSE,23267,FALSE,FALSE
Sample.33.39,6554,39,39,164,Major,1,10186,13546,X784190,LW/EX,58,31/07/2017,2017,25/09/2017,56,Faecal,Faecal,20/12/2017,0.0342,26/09/2015,0,16:38,638,Mature,674,1.845,RB,41.1,58,7749,BrF,43152.92,NA,NA,43152.92,178,14/09/2022,2022,1871,yes,TRUE,62585,FALSE,FALSE
Sample.34.40,6749,40,40,164,Major,1,10175,13539,Z691340,GL/EX,633,10/08/2017,2017,25/09/2017,46,Faecal,Faecal,22/01/2018,0.141,16/06/2017,1,15:08,548,Immature,55,0.151,G,53.2,633,7816,Immature,76468.09,NA,NA,76468.09,164,20/09/2017,2017,41,yes,FALSE,122793,FALSE,FALSE
Sample.35.41,6222,41,41,164,Major,1,10221,13584,L921228,NY/RX,82,28/08/2017,2017,25/09/2017,28,Faecal,Faecal,22/01/2018,0.001,27/01/2014,1,9:24,204,Mature,1309,3.584,RB,55,82,7817,BrM,79639.22,NA,NA,79639.22,178,14/09/2022,2022,1843,yes,TRUE,12149,FALSE,FALSE
Sample.36.42,6740,42,42,164,Major,1,10166,13531,Z691335,BY/WX,62,08/08/2017,2017,25/09/2017,48,Faecal,Faecal,17/01/2018,0.0388,07/11/2016,0,13:44,464,Mature,274,0.75,LB,45,62,7793,H,87182.2,NA,NA,87182.2,173,23/09/2019,2019,776,yes,FALSE,663657,FALSE,FALSE
Sample.38.44,6746,44,44,164,Major,1,10172,13536,Z691341,YB/NX,34,10/08/2017,2017,25/09/2017,46,Faecal,Faecal,18/12/2017,0.039,16/06/2017,1,15:48,588,Immature,55,0.151,G,26,34,7805,Immature,63064.91,NA,NA,63064.91,184,27/03/2023,2023,2055,no,FALSE,27431,FALSE,FALSE
Sample.39.45,6741,45,45,164,Major,1,10167,13532,Z691342,BG/LX,75,11/08/2017,2017,25/09/2017,45,Faecal,Faecal,23/01/2018,0.0504,27/07/2017,1,11:09,309,Mature,15,0.041,G,51.2,75,7776,Immature,49923.83,NA,NA,49923.83,166,14/03/2018,2018,215,yes,FALSE,62286,FALSE,FALSE
Sample.4.4,6732,4,4,164,Major,1,10148,13507,Z691324,BN/YX,71,28/06/2017,2017,25/09/2017,89,Faecal,Faecal,20/12/2017,0.0426,11/02/2017,1,9:12,192,Immature,137,0.375,G,50,71,7733,H,16628.27,NA,NA,16628.27,171,09/03/2019,2019,619,yes,FALSE,53282,FALSE,FALSE
Sample.40.46,6737,46,46,164,Major,1,10163,13529,Z691347,LG/YX,55,17/08/2017,2017,25/09/2017,39,Faecal,Faecal,25/01/2018,0.0444,16/08/2016,0,16:10,610,Mature,366,1.002,LB,39,55,7766,H,59592.25,NA,NA,59592.25,176,30/09/2021,2021,1505,yes,FALSE,80740,FALSE,FALSE
Sample.41.47,6739,47,47,164,Major,1,10165,13531,Z691334,WW/NX,179,08/08/2017,2017,25/09/2017,48,Faecal,Faecal,23/01/2018,0.42,29/07/2017,1,12:41,401,Mature,10,0.027,G,122,179,7738,Immature,23270.89,NA,NA,23270.89,178,14/09/2022,2022,1863,yes,FALSE,77506,FALSE,FALSE
Sample.42.48,6750,48,48,164,Major,1,10176,13540,Z691333,GY/YX,58,01/08/2017,2017,25/09/2017,55,Faecal,Faecal,20/12/2017,0.027,17/07/2017,1,14:55,535,Mature,15,0.041,G,41.1,58,7749,Immature,43152.92,NA,NA,43152.92,167,22/09/2018,2018,417,yes,FALSE,25785,FALSE,FALSE
Sample.43.49,6734,49,49,164,Major,1,10211,13550,Z691325,MM/MX,72,19/08/2017,2017,25/09/2017,37,Faecal,Faecal,22/01/2018,0.026,15/06/2017,1,10:40,280,Immature,65,0.178,G,50.1,72,7815,Immature,39351.16,NA,NA,39351.16,171,09/03/2019,2019,567,yes,TRUE,78216,FALSE,FALSE
Sample.44.50,6752,50,50,164,Major,1,10178,13542,Z691336,YY/NX,55,08/08/2017,2017,25/09/2017,48,Faecal,Faecal,20/12/2017,0.0324,24/03/2017,0,14:14,494,Immature,137,0.375,G,39,55,7766,Immature,59592.25,NA,NA,59592.25,184,27/03/2023,2023,2057,no,FALSE,74190,FALSE,FALSE
Sample.45.51,5635,51,51,164,Major,1,10187,13547,V267591,YV/KX,481,16/08/2017,2017,25/09/2017,40,Faecal,Faecal,15/01/2018,1.396,16/12/2010,0,17:18,678,Mature,2435,6.667,RB,133,481,7830,BrF,95885.91,NA,NA,95885.91,174,16/03/2020,2020,943,yes,TRUE,137772,FALSE,FALSE
Sample.46.52,6693,52,52,164,Major,1,10185,13538,Z691304,GE/EX,481,16/08/2017,2017,25/09/2017,40,Faecal,Faecal,25/01/2018,0.06,28/09/2016,0,16:45,645,Mature,322,0.882,RB,133,481,7830,H,95885.91,NA,NA,95885.91,174,16/03/2020,2020,943,yes,TRUE,66201,FALSE,FALSE
Sample.47.53,6742,53,53,164,Major,1,10168,13533,Z691339,OV/YX,40,10/08/2017,2017,25/09/2017,46,Faecal,Faecal,25/01/2018,0.216,31/07/2017,1,12:09,369,Mature,10,0.027,G,29,40,7765,Immature,50547.64,NA,NA,50547.64,171,09/03/2019,2019,576,yes,FALSE,74152,FALSE,FALSE
Sample.48.54,5833,54,54,164,Major,1,10183,13539,X784061,VR/RX,34,10/08/2017,2017,25/09/2017,46,Faecal,Faecal,25/01/2018,0.0152,17/06/2011,0,16:19,619,Mature,2246,6.149,RB,26,34,7805,BrF,63064.91,NA,NA,63064.91,171,09/03/2019,2019,576,yes,TRUE,68434,FALSE,FALSE
Sample.49.55,6707,55,55,164,Major,1,10182,13536,Z691319,WW/EX,34,10/08/2017,2017,25/09/2017,46,Faecal,Faecal,22/01/2018,0.184,09/10/2016,0,16:10,610,Mature,305,0.835,LB,11,16,7770,AB,72942.35,NA,NA,72942.35,184,27/03/2023,2023,2055,no,TRUE,60880,FALSE,FALSE
Sample.5.5,6734,5,5,164,Major,1,10150,13502,Z691325,MM/MX,72,06/07/2017,2017,25/09/2017,81,Faecal,Faecal,17/01/2018,0.001,15/06/2017,1,8:13,133,Immature,21,0.057,G,50.1,72,7815,Immature,39351.16,NA,NA,39351.16,171,09/03/2019,2019,611,yes,TRUE,18855,FALSE,FALSE
Sample.50.56,6757,56,56,164,Major,1,10192,13551,Z691349,OY/EX,62,19/08/2017,2017,25/09/2017,37,Faecal,Faecal,25/01/2018,3.496,25/06/2017,0,15:29,569,Immature,55,0.151,G,45,62,7793,Immature,87182.2,NA,NA,87182.2,176,30/09/2021,2021,1503,yes,FALSE,177083,FALSE,FALSE
Sample.51.57,6738,57,57,164,Major,1,10164,13530,Z691348,WW/YX,602,17/08/2017,2017,25/09/2017,39,Faecal,Faecal,22/01/2018,0.102,23/06/2017,0,16:30,630,Immature,55,0.151,G,47.2,602,7814,Immature,78304.71,NA,NA,78304.71,184,27/03/2023,2023,2048,no,FALSE,97572,FALSE,FALSE
Sample.52.61,6740,61,61,164,Major,1,10207,13550,Z691335,BY/WX,62,19/08/2017,2017,25/09/2017,37,Faecal,Faecal,17/01/2018,0.0672,07/11/2016,0,15:00,540,Mature,285,0.78,LB,45,62,7793,H,87182.2,NA,NA,87182.2,173,23/09/2019,2019,765,yes,FALSE,104072,FALSE,FALSE
Sample.53.62,5291,62,62,164,Major,1,10208,13626,V267411,NV/GX,62,19/08/2017,2017,25/09/2017,37,Faecal,Faecal,23/01/2018,0.0576,23/10/2008,1,15:19,559,Mature,3222,8.821,RB,45,62,7793,BrM,87182.2,NA,NA,87182.2,167,22/09/2018,2018,399,yes,TRUE,78389,FALSE,FALSE
Sample.54.63,6272,63,63,164,Major,1,10220,13584,L921241,LR/EX,637,28/08/2017,2017,25/09/2017,28,Faecal,Faecal,17/01/2018,0.354,14/07/2014,0,8:45,165,Mature,1141,3.124,RB,55.1,637,7818,BrF,96280.44,NA,NA,96280.44,175,15/06/2021,2021,1387,yes,FALSE,54851,FALSE,FALSE
Sample.55.64,1826,64,64,164,Major,1,10179,13530,P885971,VV/AX,9,17/08/2017,2017,25/09/2017,39,Faecal,Faecal,25/01/2018,0.0456,09/08/2003,0,15:43,583,Mature,5122,14.023,RB,6,9,7809,BrF,64756.95,NA,NA,64756.95,174,16/03/2020,2020,942,yes,FALSE,98345,FALSE,FALSE
Sample.56.65,6676,65,65,164,Major,1,10205,13566,Z691142,YO/WX,743,22/08/2017,2017,25/09/2017,34,Faecal,Faecal,25/01/2018,0.078,14/07/2016,1,16:49,649,Mature,404,1.106,RB,50.1,72,7815,ABX,39351.16,NA,NA,39351.16,184,27/03/2023,2023,2043,no,FALSE,84254,FALSE,FALSE
Sample.57.66,6748,66,66,164,Major,1,10174,13538,Z691346,GB/NX,481,16/08/2017,2017,25/09/2017,40,Faecal,Faecal,25/01/2018,0.22,22/06/2017,0,16:45,645,Immature,55,0.151,G,133,481,7830,Immature,95885.91,NA,NA,95885.91,166,14/03/2018,2018,210,yes,FALSE,182660,FALSE,FALSE
Sample.58.67,6754,67,67,164,Major,1,10189,13548,Z691353,VL/YX,90,21/08/2017,2017,25/09/2017,35,Faecal,Faecal,23/01/2018,0.136,27/06/2017,0,15:25,565,Immature,55,0.151,G,60.1,90,7819,Immature,66247.97,NA,NA,66247.97,178,14/09/2022,2022,1850,yes,FALSE,18666,FALSE,FALSE
Sample.59.68,6689,68,68,164,Major,1,10219,13630,Z691310,GE/WX,159,29/08/2017,2017,25/09/2017,27,Faecal,Faecal,25/01/2018,0.0712,14/02/2016,1,10:00,240,Mature,562,1.539,RB,101.1,155,7841,BrM,32726.03,NA,NA,32726.03,174,16/03/2020,2020,930,yes,TRUE,97269,FALSE,FALSE
Sample.6.7,6732,7,7,164,Major,1,10148,13507,Z691324,BN/YX,71,28/06/2017,2017,25/09/2017,89,Faecal,Faecal,22/01/2018,0.0356,11/02/2017,1,9:12,192,Immature,137,0.375,G,50,71,7733,H,16628.27,NA,NA,16628.27,171,09/03/2019,2019,619,yes,FALSE,61261,FALSE,FALSE
Sample.60.69,5077,69,69,164,Major,1,10204,13566,V267130,BV/AX,174,22/08/2017,2017,25/09/2017,34,Faecal,Faecal,23/01/2018,0.0132,26/04/2007,1,16:49,649,Mature,3771,10.324,RB,117,174,7780,BrM,77976.59,NA,NA,77976.59,176,30/09/2021,2021,1500,yes,TRUE,70847,FALSE,FALSE
Sample.61.70,6272,70,70,164,Major,1,10212,13608,L921241,LR/EX,637,01/09/2017,2017,25/09/2017,24,Faecal,Faecal,25/01/2018,0.416,14/07/2014,0,11:36,336,Mature,1145,3.135,RB,55.1,637,7818,BrF,96280.44,NA,NA,96280.44,175,15/06/2021,2021,1383,yes,FALSE,74604,FALSE,FALSE
Sample.62.71,5292,71,71,164,Major,1,10210,13625,V267412,NV/OX,90,21/08/2017,2017,25/09/2017,35,Faecal,Faecal,25/01/2018,0.102,23/11/2008,1,15:48,588,Mature,3193,8.742,RB,60.1,90,7819,BrM,66247.97,NA,NA,66247.97,175,15/06/2021,2021,1394,yes,TRUE,50609,FALSE,FALSE
Sample.63.72,6765,72,72,164,Major,1,10200,13585,Z691357,EG/VX,154,29/08/2017,2017,25/09/2017,27,Faecal,Faecal,25/01/2018,0.0888,05/07/2017,0,11:05,305,Immature,55,0.151,G,101,154,7787,Immature,25958.57,NA,NA,25958.57,184,27/03/2023,2023,2036,no,FALSE,63336,FALSE,FALSE
Sample.64.73,6761,73,73,164,Major,1,10196,13608,Z691360,NY/NX,743,01/09/2017,2017,25/09/2017,24,Faecal,Faecal,20/12/2017,0.0538,31/08/2016,1,9:40,220,Mature,366,1.002,RB,77.2,743,7821,BrM,NA,4596.66,TQ is average from previous/next season of the same type,4596.66,171,09/03/2019,2019,554,yes,FALSE,90590,FALSE,FALSE
Sample.65.74,6764,74,74,164,Major,1,10199,13610,Z691363,BL/BX,57,04/09/2017,2017,25/09/2017,21,Faecal,Faecal,22/01/2018,0.0224,11/07/2017,0,10:54,294,Immature,55,0.151,G,41,57,7757,Immature,91843.45,NA,NA,91843.45,176,30/09/2021,2021,1487,yes,FALSE,49666,FALSE,FALSE
